Step : 1	Numberions : 38
Name		xpos	ypos	sigxp	sigxm	sigyp	sigym	vel	mass	charge		peakhigh
 Fe6+		210.99	36.55	3.98	3.98	3.91	3.91	1079.05	56.00	6.00		0.00
 Fe7+		194.15	44.82	3.69	3.69	4.78	4.78	1165.51	56.00	7.00		0.00
 Fe8+		180.71	53.69	3.46	3.46	5.71	5.71	1245.98	56.00	8.00		0.00
 Fe9+		169.70	62.89	3.27	3.27	6.67	6.67	1321.56	56.00	9.00		0.00
Fe10+		160.47	72.34	3.11	3.11	7.65	7.65	1393.05	56.00	10.00		0.00
Fe11+		152.58	82.20	2.97	2.97	8.68	8.68	1461.04	56.00	11.00		0.00
Fe12+		145.76	92.52	2.86	2.86	9.76	9.76	1526.01	56.00	12.00		0.00
Fe13+		139.30	103.92	2.74	2.74	10.94	10.94	1588.32	56.00	13.00		0.00
Fe14+		134.03	114.76	2.65	2.65	12.06	12.06	1648.28	56.00	14.00		0.00
Step : 5	Numberions : 63
Name		xpos	ypos	sigxp	sigxm	sigyp	sigym	vel	mass	charge		peakhigh
  H1+		62.53	12.89	1.50	1.50	1.50	1.50	3068.20	1.00	1.00		0.00
3He1+		119.93	11.96	2.42	2.42	1.50	1.50	1771.42	3.00	1.00		0.00
3He2+		79.90	24.61	1.70	1.70	2.55	2.55	2505.17	3.00	2.00		0.00
 He1+		141.88	11.74	2.81	2.81	1.50	1.50	1534.10	4.00	1.00		0.00
 He2+		96.57	24.33	2.00	2.00	2.52	2.52	2169.54	4.00	2.00		0.00
  C3+		141.16	30.87	2.79	2.79	3.21	3.21	1534.10	12.00	3.00		0.00
  C4+		120.25	42.99	2.42	2.42	4.47	4.47	1771.42	12.00	4.00		0.00
  C5+		106.16	55.16	2.17	2.17	5.73	5.73	1980.51	12.00	5.00		0.00
  C6+		95.84	67.50	1.98	1.98	7.00	7.00	2169.54	12.00	6.00		0.00
  O4+		140.61	39.26	2.78	2.78	4.09	4.09	1534.10	16.00	4.00		0.00
  O5+		124.30	50.96	2.49	2.49	5.31	5.31	1715.17	16.00	5.00		0.00
  O6+		112.39	62.89	2.28	2.28	6.54	6.54	1878.88	16.00	6.00		0.00
  O7+		103.20	74.93	2.11	2.11	7.79	7.79	2029.42	16.00	7.00		0.00
  O8+		95.85	87.18	1.98	1.98	9.05	9.05	2169.54	16.00	8.00		0.00
  N4+		130.84	41.21	2.60	2.60	4.29	4.29	1640.02	14.00	4.00		0.00
  N5+		115.61	53.31	2.33	2.33	5.54	5.54	1833.60	14.00	5.00		0.00
  N6+		104.47	65.43	2.14	2.14	6.79	6.79	2008.61	14.00	6.00		0.00
  N7+		95.88	77.77	1.98	1.98	8.07	8.07	2169.54	14.00	7.00		0.00
 Ne7+		116.74	69.68	2.35	2.35	7.26	7.26	1815.17	20.00	7.00		0.00
 Ne8+		108.52	81.21	2.20	2.20	8.46	8.46	1940.50	20.00	8.00		0.00
 Mg5+		154.54	43.36	3.02	3.02	4.55	4.55	1400.43	24.00	5.00		0.00
 Mg6+		139.97	54.34	2.76	2.76	5.69	5.69	1534.10	24.00	6.00		0.00
 Mg7+		128.75	65.68	2.56	2.56	6.86	6.86	1657.01	24.00	7.00		0.00
 Mg8+		119.76	77.32	2.40	2.40	8.07	8.07	1771.42	24.00	8.00		0.00
 Mg9+		112.36	88.79	2.27	2.27	9.26	9.26	1878.88	24.00	9.00		0.00
Mg10+		106.15	100.26	2.16	2.16	10.45	10.45	1980.51	24.00	10.00		0.00
Mg11+		100.83	111.89	2.07	2.07	11.65	11.65	2077.18	24.00	11.00		0.00
 Si5+		168.58	40.18	3.26	3.26	4.23	4.23	1296.55	28.00	5.00		0.00
 Si6+		152.62	50.73	2.98	2.98	5.33	5.33	1420.30	28.00	6.00		0.00
 Si7+		140.36	61.52	2.77	2.77	6.45	6.45	1534.10	28.00	7.00		0.00
 Si8+		130.57	72.60	2.59	2.59	7.60	7.60	1640.02	28.00	8.00		0.00
 Si9+		122.53	83.94	2.45	2.45	8.77	8.77	1739.50	28.00	9.00		0.00
Si10+		115.78	95.36	2.33	2.33	9.96	9.96	1833.60	28.00	10.00		0.00
Si11+		110.01	106.59	2.23	2.23	11.12	11.12	1923.09	28.00	11.00		0.00
Si12+		105.00	117.97	2.14	2.14	12.30	12.30	2008.61	28.00	12.00		0.00
  S5+		181.37	37.65	3.48	3.48	3.98	3.98	1212.81	32.00	5.00		0.00
  S6+		164.21	47.65	3.18	3.18	5.02	5.02	1328.57	32.00	6.00		0.00
  S7+		151.02	58.00	2.95	2.95	6.09	6.09	1435.02	32.00	7.00		0.00
  S8+		140.50	68.59	2.77	2.77	7.20	7.20	1534.10	32.00	8.00		0.00
  S9+		131.87	79.45	2.61	2.61	8.32	8.32	1627.16	32.00	9.00		0.00
 S10+		124.60	90.55	2.49	2.49	9.47	9.47	1715.17	32.00	10.00		0.00
 S11+		118.41	101.85	2.38	2.38	10.65	10.65	1798.89	32.00	11.00		0.00
 S12+		113.04	112.93	2.28	2.28	11.80	11.80	1878.88	32.00	12.00		0.00
 Ca6+		185.74	41.31	3.55	3.55	4.38	4.38	1188.31	40.00	6.00		0.00
 Ca7+		170.82	50.57	3.29	3.29	5.35	5.35	1283.52	40.00	7.00		0.00
 Ca8+		158.93	60.12	3.09	3.09	6.35	6.35	1372.14	40.00	8.00		0.00
 Ca9+		149.17	70.02	2.91	2.91	7.38	7.38	1455.37	40.00	9.00		0.00
Ca10+		140.99	80.18	2.77	2.77	8.44	8.44	1534.10	40.00	10.00		0.00
Ca11+		134.01	90.56	2.65	2.65	9.52	9.52	1608.98	40.00	11.00		0.00
Ca12+		127.96	101.14	2.54	2.54	10.62	10.62	1680.52	40.00	12.00		0.00
Ca13+		122.66	111.90	2.45	2.45	11.74	11.74	1749.14	40.00	13.00		0.00
 Fe5+		246.41	25.04	4.58	4.58	2.71	2.71	916.80	56.00	5.00		0.00
 Fe6+		223.07	31.90	4.18	4.18	3.44	3.44	1004.30	56.00	6.00		0.00
 Fe7+		205.21	39.14	3.87	3.87	4.21	4.21	1084.77	56.00	7.00		0.00
 Fe8+		190.99	46.74	3.63	3.63	5.01	5.01	1159.67	56.00	8.00		0.00
 Fe9+		179.33	54.84	3.43	3.43	5.86	5.86	1230.01	56.00	9.00		0.00
Fe10+		169.55	63.17	3.26	3.26	6.74	6.74	1296.55	56.00	10.00		0.00
Fe11+		161.22	71.71	3.11	3.11	7.63	7.63	1359.83	56.00	11.00		0.00
Fe12+		154.00	80.58	2.99	2.99	8.56	8.56	1420.30	56.00	12.00		0.00
Fe13+		147.66	89.87	2.88	2.88	9.53	9.53	1478.29	56.00	13.00		0.00
Fe14+		141.57	100.17	2.77	2.77	10.60	10.60	1534.10	56.00	14.00		0.00
Fe15+		136.58	109.90	2.69	2.69	11.62	11.62	1587.94	56.00	15.00		0.00
Fe16+		132.10	119.80	2.61	2.61	12.65	12.65	1640.02	56.00	16.00		0.00
Step : 6	Numberions : 66
Name		xpos	ypos	sigxp	sigxm	sigyp	sigym	vel	mass	charge		peakhigh
  H1+		66.89	11.70	1.50	1.50	1.50	1.50	2855.65	1.00	1.00		0.00
3He1+		126.95	10.81	2.53	2.53	1.50	1.50	1648.71	3.00	1.00		0.00
3He2+		85.04	22.28	1.78	1.78	2.31	2.31	2331.63	3.00	2.00		0.00
 He1+		149.75	10.61	2.94	2.94	1.50	1.50	1427.82	4.00	1.00		0.00
 He2+		102.22	22.01	2.09	2.09	2.28	2.28	2019.25	4.00	2.00		0.00
  C3+		149.08	27.61	2.92	2.92	2.89	2.89	1427.82	12.00	3.00		0.00
  C4+		127.12	38.50	2.53	2.53	4.02	4.02	1648.71	12.00	4.00		0.00
  C5+		112.33	49.59	2.27	2.27	5.17	5.17	1843.31	12.00	5.00		0.00
  C6+		101.51	60.69	2.07	2.07	6.32	6.32	2019.25	12.00	6.00		0.00
  O4+		148.46	35.05	2.91	2.91	3.67	3.67	1427.82	16.00	4.00		0.00
  O5+		131.33	45.54	2.60	2.60	4.76	4.76	1596.36	16.00	5.00		0.00
  O6+		118.82	56.34	2.38	2.38	5.89	5.89	1748.72	16.00	6.00		0.00
  O7+		109.18	67.18	2.21	2.21	7.01	7.01	1888.83	16.00	7.00		0.00
  O8+		101.46	78.18	2.07	2.07	8.15	8.15	2019.25	16.00	8.00		0.00
  N4+		138.22	36.85	2.73	2.73	3.85	3.85	1526.41	14.00	4.00		0.00
  N5+		122.22	47.74	2.44	2.44	4.98	4.98	1706.58	14.00	5.00		0.00
  N6+		110.54	58.73	2.23	2.23	6.13	6.13	1869.46	14.00	6.00		0.00
  N7+		101.52	69.83	2.07	2.07	7.28	7.28	2019.25	14.00	7.00		0.00
 Ne7+		123.34	62.02	2.46	2.46	6.50	6.50	1689.42	20.00	7.00		0.00
 Ne8+		114.71	72.72	2.30	2.30	7.61	7.61	1806.07	20.00	8.00		0.00
 Mg5+		163.02	38.35	3.16	3.16	4.05	4.05	1303.42	24.00	5.00		0.00
 Mg6+		147.69	48.23	2.89	2.89	5.08	5.08	1427.82	24.00	6.00		0.00
 Mg7+		135.89	58.35	2.68	2.68	6.13	6.13	1542.23	24.00	7.00		0.00
 Mg8+		126.45	68.74	2.51	2.51	7.21	7.21	1648.71	24.00	8.00		0.00
 Mg9+		118.68	79.37	2.37	2.37	8.32	8.32	1748.72	24.00	9.00		0.00
Mg10+		112.16	89.72	2.26	2.26	9.39	9.39	1843.31	24.00	10.00		0.00
Mg11+		106.56	100.15	2.16	2.16	10.48	10.48	1933.28	24.00	11.00		0.00
Mg12+		101.72	110.71	2.07	2.07	11.57	11.57	2019.25	24.00	12.00		0.00
 Si5+		177.85	35.45	3.42	3.42	3.75	3.75	1206.73	28.00	5.00		0.00
 Si6+		161.03	44.86	3.12	3.12	4.74	4.74	1321.91	28.00	6.00		0.00
