Step : 1	Numberions : 38
Name		xpos	ypos	sigxp	sigxm	sigyp	sigym	vel	mass	charge		peakhigh
Si6+		149.06	53.25	2.98	2.98	5.33	5.33	1420.30	28.00	6.00		0.00
Si7+		138.27	64.46	2.77	2.77	6.45	6.45	1534.10	28.00	7.00		0.00
Si8+		129.64	75.96	2.59	2.59	7.60	7.60	1640.02	28.00	8.00		0.00
Si9+		122.55	87.72	2.45	2.45	8.77	8.77	1739.50	28.00	9.00		0.00
Si10+		116.58	99.56	2.33	2.33	9.96	9.96	1833.60	28.00	10.00		0.00
Si11+		111.47	111.21	2.23	2.23	11.12	11.12	1923.09	28.00	11.00		0.00
Si12+		107.03	123.01	2.14	2.14	12.30	12.30	2008.61	28.00	12.00		0.00
S5+		174.16	39.75	3.48	3.48	3.98	3.98	1212.81	32.00	5.00		0.00
S6+		159.14	50.17	3.18	3.18	5.02	5.02	1328.57	32.00	6.00		0.00
S7+		147.57	60.94	2.95	2.95	6.09	6.09	1435.02	32.00	7.00		0.00
S8+		138.32	71.95	2.77	2.77	7.20	7.20	1534.10	32.00	8.00		0.00
S9+		130.72	83.23	2.61	2.61	8.32	8.32	1627.16	32.00	9.00		0.00
S10+		124.32	94.75	2.49	2.49	9.47	9.47	1715.17	32.00	10.00		0.00
S11+		118.86	106.47	2.38	2.38	10.65	10.65	1798.89	32.00	11.00		0.00
S12+		114.11	117.97	2.28	2.28	11.80	11.80	1878.88	32.00	12.00		0.00
Ca6+		177.64	43.83	3.55	3.55	4.38	4.38	1188.31	40.00	6.00		0.00
Ca7+		164.64	53.51	3.29	3.29	5.35	5.35	1283.52	40.00	7.00		0.00
Ca8+		154.25	63.48	3.09	3.09	6.35	6.35	1372.14	40.00	8.00		0.00
Ca9+		145.72	73.80	2.91	2.91	7.38	7.38	1455.37	40.00	9.00		0.00
Ca10+		138.55	84.38	2.77	2.77	8.44	8.44	1534.10	40.00	10.00		0.00
Ca11+		132.43	95.18	2.65	2.65	9.52	9.52	1608.98	40.00	11.00		0.00
Ca12+		127.12	106.18	2.54	2.54	10.62	10.62	1680.52	40.00	12.00		0.00
Ca13+		122.46	117.36	2.45	2.45	11.74	11.74	1749.14	40.00	13.00		0.00
Fe5+		229.09	27.14	4.58	4.58	2.71	2.71	916.80	56.00	5.00		0.00
Fe6+		209.06	34.42	4.18	4.18	3.44	3.44	1004.30	56.00	6.00		0.00
Fe7+		193.70	42.08	3.87	3.87	4.21	4.21	1084.77	56.00	7.00		0.00
Fe8+		181.44	50.10	3.63	3.63	5.01	5.01	1159.67	56.00	8.00		0.00
Fe9+		171.38	58.62	3.43	3.43	5.86	5.86	1230.01	56.00	9.00		0.00
Fe10+		162.93	67.37	3.26	3.26	6.74	6.74	1296.55	56.00	10.00		0.00
Fe11+		155.71	76.33	3.11	3.11	7.63	7.63	1359.83	56.00	11.00		0.00
Fe12+		149.45	85.62	2.99	2.99	8.56	8.56	1420.30	56.00	12.00		0.00
Fe13+		143.96	95.33	2.88	2.88	9.53	9.53	1478.29	56.00	13.00		0.00
Fe14+		138.69	106.05	2.77	2.77	10.60	10.60	1534.10	56.00	14.00		0.00
Fe15+		134.35	116.20	2.69	2.69	11.62	11.62	1587.94	56.00	15.00		0.00
Fe16+		130.45	126.52	2.61	2.61	12.65	12.65	1640.02	56.00	16.00		0.00
Step : 6	Numberions : 66
Name		xpos	ypos	sigxp	sigxm	sigyp	sigym	vel	mass	charge		peakhigh
H1+		72.80	12.12	1.50	1.50	1.50	1.50	2855.65	1.00	1.00		0.00
3He1+		126.61	11.23	2.53	2.53	1.50	1.50	1648.71	3.00	1.00		0.00
3He2+		89.04	23.12	1.78	1.78	2.31	2.31	2331.63	3.00	2.00		0.00
He1+		147.03	11.03	2.94	2.94	1.50	1.50	1427.82	4.00	1.00		0.00
He2+		104.45	22.85	2.09	2.09	2.28	2.28	2019.25	4.00	2.00		0.00
C3+		146.04	28.87	2.92	2.92	2.89	2.89	1427.82	12.00	3.00		0.00
C4+		126.50	40.18	2.53	2.53	4.02	4.02	1648.71	12.00	4.00		0.00
