Step : 1	Numberions : 12
Name		xpos	ypos	sigxp	sigxm	sigyp	sigym	vel	mass	charge		peakhigh
Ca1+		686.93	1.66	13.74	13.74	1.50	1.50	273.17	40.00	1.00		0.00
Fe1+		855.00	1.35	17.10	17.10	1.50	1.50	230.87	56.00	1.00		0.00
Step : 15	Numberions : 12
Name		xpos	ypos	sigxp	sigxm	sigyp	sigym	vel	mass	charge		peakhigh
H1+		95.71	7.09	1.91	1.91	1.50	1.50	1666.75	1.00	1.00		0.00
3He1+		166.90	6.41	3.34	3.34	1.50	1.50	962.30	3.00	1.00		0.00
He1+		192.89	6.26	3.86	3.86	1.50	1.50	833.37	4.00	1.00		0.00
C1+		342.81	3.84	6.86	6.86	1.50	1.50	481.15	12.00	1.00		0.00
O1+		399.38	3.04	7.99	7.99	1.50	1.50	416.69	16.00	1.00		0.00
N1+		373.15	3.47	7.46	7.46	1.50	1.50	445.46	14.00	1.00		0.00
Ne1+		446.48	2.59	8.93	8.93	1.50	1.50	372.70	20.00	1.00		0.00
Mg1+		492.00	2.38	9.84	9.84	1.50	1.50	340.22	24.00	1.00		0.00
Si1+		557.46	2.04	11.15	11.15	1.50	1.50	314.99	28.00	1.00		0.00
S1+		607.84	1.86	12.16	12.16	1.50	1.50	294.64	32.00	1.00		0.00
Ca1+		700.42	1.61	14.01	14.01	1.50	1.50	263.54	40.00	1.00		0.00
Fe1+		873.39	1.30	17.47	17.47	1.50	1.50	222.73	56.00	1.00		0.00
Step : 16	Numberions : 12
Name		xpos	ypos	sigxp	sigxm	sigyp	sigym	vel	mass	charge		peakhigh
H1+		96.98	6.91	1.94	1.94	1.50	1.50	1607.98	1.00	1.00		0.00
3He1+		169.15	6.24	3.38	3.38	1.50	1.50	928.37	3.00	1.00		0.00
He1+		195.44	6.10	3.91	3.91	1.50	1.50	803.99	4.00	1.00		0.00
C1+		347.69	3.71	6.95	6.95	1.50	1.50	464.19	12.00	1.00		0.00
O1+		405.43	2.94	8.11	8.11	1.50	1.50	402.00	16.00	1.00		0.00
N1+		378.59	3.35	7.57	7.57	1.50	1.50	429.75	14.00	1.00		0.00
Ne1+		453.23	2.51	9.06	9.06	1.50	1.50	359.56	20.00	1.00		0.00
Mg1+		499.69	2.31	9.99	9.99	1.50	1.50	328.23	24.00	1.00		0.00
Si1+		566.89	1.97	11.34	11.34	1.50	1.50	303.88	28.00	1.00		0.00
S1+		618.59	1.80	12.37	12.37	1.50	1.50	284.25	32.00	1.00		0.00
