Mass;Q;Ebeam;Paps;FSR;"FSR b";DCR;"DCR b";TCR;"TCR b";MSS;"MSS b";Etot;"TCR/FSR corr";"TCR/DCR corr";"DCR/FSR corr";;FSRoB;DCRoB;TCRoB;;F-TF;F-TD;F-DF;;F-TF-mB;F-TD-mB;F-DF-mB;;"Relative Abweichungen";;;;1%Fehler;;;;"1%Fehler mB";;
16;7;7;0;944;1,4;192;0;17,1;0;49,8;2,52;49;0,0181413112667091;0,0890625;0,203691915977085;;942,6;192;17,1;;0,00442664453973475;0,0224762176285673;0,0161280124801554;;0,00442676168645084;0,0224762176285673;0,0161320655616245;;1,00002646399887;1;1,00025130694027;;0,000256556884326118;0,00125953395398854;0,00288063870120554;;0,00054995729097714;0,000890625;0,00268080491442466
16;7;7;0;1072;1,9;232;0;12,5;0;42,1;2,9;49;0,0116811512942716;0,0538793103448276;0,21680216802168;;1070,1;232;12,5;;0,0033231693357407;0,0156445278562536;0,0157010832318468;;0,00332323746273793;0,0156445278562536;0,0157060495417859;;1,00002050060961;1;1,00031630365025;;0,000165196425844909;0,000761968514209642;0,00306604566368151;;0,000470208842879988;0,000538793103448276;0,00292684511870393
16;7;7;9,6;1253;2,4;533;0;467;0;925;3;116,2;0,373420758036143;0,876172607879925;0,426195426195426;;1250,6;533;467;;0,0202507829782789;0,055535108762061;0,0220462485744782;;0,0202613466823661;0,055535108762061;0,0220588881586172;;1,00052164422968;1;1,00057332131117;;0,00528096700486355;0,0123909518504359;0,00602731351946953;;0,00460044745802995;0,00876172607879925;0,00513936421645569
16;7;7;10,5;1405;3,3;629;0,02;557;0;1093;3,1;122,5;0,397374616537062;0,885560749149417;0,448726546336591;;1401,7;628,98;557;;0,0199034769061843;0,051524172547862;0,0215355790618746;;0,019916797690056;0,0515249419949715;0,021551749683803;;1,00066926919023;1,00001493371114;1,00075087936488;;0,00561972572049521;0,0125237202175238;0,00634595167626046;;0,00502199411098402;0,00887177308413277;0,00555075487515132
16;7;7;11,7;726;5,81;339;0,1;309;0;583;2,99;130,9;0,429053444229995;0,911773384479197;0,470570266179758;;720,19;338,9;309;;0,0291780583470012;0,0717176212665296;0,0309978511106748;;0,0292486451246313;0,071727713197046;0,0310839713920706;;1,0024191732291;1,0001407175857;1,00277826618008;;0,00606773199812947;0,012894422861413;0,00665486852480931;;0,00730205426780217;0,00926674316380836;0,00780435010781113
16;7;7;12,9;701;10,3;337;0,2;309;0;572;3,1;139,3;0,447372231069929;0,917458432304038;0,487621253800492;;690,7;336,8;309;;0,030618217356891;0,0722720104164623;0,0324072942686706;;0,0307590226561153;0,0722925422059272;0,0325781892648133;;1,00459874255849;1,0002840904708;1,00527334971954;;0,00632679876608204;0,0129748215787793;0,00689600590426029;;0,00934502716276065;0,00947212149235339;0,00995552205960526
16;7;7;14,4;601;14,7;295;0,4;273;0;500;3,3;149,8;0,465631929046563;0,926680244399185;0,502473136619478;;586,3;294,6;273;;0,0341172398089558;0,0778490654081669;0,0358839162971505;;0,0343879282504789;0,0778998882766438;0,036215697483697;;1,00793406626793;1,00065283851785;1,00924595809998;;0,00658502989131596;0,0131052376961254;0,00710604324535415;;0,0118121826691437;0,00993424361317713;0,0126733446124
16;7;7;15,15;508;23,6;251;0,7;233;0;430;3,33;155,05;0,481007431874484;0,930882940471434;0,51672171758877;;484,4;250,3;233;;0,0383488588353542;0,084741292492767;0,040223443085998;;0,0389509453622604;0,0848554695703497;0,0409585264253812;;1,01570024624438;1,00134736058684;1,01827499793619;;0,00680247233759148;0,0131646727939645;0,00730754860986758;;0,0161181055464679;0,0106382868579136;0,0175335400501855
16;7;7;15,9;349;31,2;164;1;153;0;281;3,1;160,3;0,481434864694777;0,938650306748466;0,512901195720579;;317,8;163;153;;0,0473732416059895;0,105659329433632;0,0494134517541641;;0,0488613031172125;0,105972716456952;0,0512252458784524;;1,0314114352486;1,00296601374436;1,03666601016464;;0,00680851715050609;0,0132745199412935;0,0072535182714542;;0,022374109803406;0,0121151444470837;0,0242595800952619
16;8;7;0;367;219;26,7;0,1;4,4;0,03;175;164;56;0,029527027027027;0,164285714285714;0,17972972972973;;148;26,6;4,37;;0,0143317056264324;0,0847986359223354;0,0378503905401726;;0,0150190124220769;0,085341877726691;0,0456915785668812;;1,04795708295716;1,00640625640315;1,20716267163443;;0,000417575220781786;0,00232335085247009;0,00254176221345435;;0,0209154598132379;0,00298335223925168;0,0517633316673947
16;5;5;10,5;1922;-0,01;578;-0,01;389;-0,01;988;-0,01;77,5;0,202397490127523;0,673016037784813;0,300732046139198;;1922,01;578,01;389,01;;0,0112524934906075;0,0441362146191763;0,0142661226406688;;0,0112522430638114;0,0441352292705722;0,014265915727758;;0,999977744773075;0,999977674827517;0,999985496205518;;0,00286233275528617;0,00951788408329887;0,00425299338290265;;0,00202156387855142;0,00672206168141708;0,00300500320027384
16;5;5;12,9;1819;-0,1;622;-0,01;498;-0,01;1197;-0,01;89,5;0,273767247539992;0,800646291860259;0,341932823923918;;1819,1;622,01;498,01;;0,0138454634244608;0,0481433016105015;0,0158820843246728;;0,0138450815720102;0,04814242057973;0,0158816715807363;;0,99997242039223;0,999981699826517;0,999974011979284;;0,0038716535440461;0,0113228484461251;0,00483566037013737;;0,00271017149125671;0,00799909296658118;0,00339188595772436
16;5;5;15,9;1983;65;754;1,8;633;0;1471;5;104,5;0,330031282586027;0,841531507577772;0,392179353493222;;1918;752,2;633;;0,0151280928045724;0,0453897826185342;0,0168719646217596;;0,0152547784904621;0,0454393905643097;0,0170609786137162;;1,00837420073543;1,00109293199733;1,01120284425638;;0,00466734715840547;0,0119010527118076;0,00554625360592827;;0,0111125457638951;0,00955481810017308;0,0157952864297009
16;5;15;0;3067;-0,01;966;-0,01;616;-0,01;1545;-0,01;75;0,200850339581547;0,637684910094098;0,314967998148033;;3067,01;966,01;616,01;;0,008867947876434;0,0328796686839094;0,0116207246534573;;0,00886782315956665;0,0328792102297207;0,0116206240953904;;0,999985936220071;0,999986056605584;0,999991346661253;;0,00284045274243465;0,00901822648375742;0,00445432014694453;;0,00200706692496699;0,00637224315997116;0,003148354142111
